severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,publication,cmn_relaxng_pi,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN RELAX NG xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
error,publication,cmn_schematron_pi,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,mei,,,,,Publication MEI is missing its MEI 5.1 CMN Schematron xml-model declaration.,https://music-encoding.org/schema/5.1/mei-CMN.rng,"href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://relaxng.org/ns/structure/1.0"" | href=""https://music-encoding.org/schema/5.1/mei-all.rng"" type=""application/xml"" schematypens=""http://purl.oclc.org/dsdl/schematron""",
warning,publication,cmn_meiversion,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,mei,,,,,Publication profile should identify the MEI version and customization.,5.1+CMN,5.1,
warning,publication,edition_statement,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,"Publication MEI should record a named, versioned edition.",edition text and semantic version in @n,,
warning,publication,editorial_declaration,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should state its editorial policy.,,,
warning,publication,iiif_manifest,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Source metadata should link the IIIF Presentation manifest.,,,
warning,publication,mei_license,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should state reuse conditions.,,,
warning,publication,project_description,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should identify its project context.,,,
warning,publication,publisher,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should identify its publisher.,,,
warning,publication,repository_alt_id,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,meiHead should carry a non-empty repository-stem altId.,,,
warning,publication,revision_history,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should record meaningful revisions.,,,
warning,publication,source_description,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should describe its source.,,,
warning,publication,stable_identifier,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication metadata has no URN identifier.,URN,,
warning,publication,stable_identifier,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication metadata has no BSB-ID identifier.,BSB-ID,,
warning,publication,stable_identifier,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication metadata has no BuxWV identifier.,BuxWV,,
warning,publication,work_description,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5,meiHead,,,,m3vr95s,Publication MEI should identify the encoded work.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,27,graphic,,,,graphic_8aa0534ab08e,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,47,graphic,,,,graphic_9bbc5dcb7b4c,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,66,graphic,,,,graphic_d28f2fe3a19d,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,85,graphic,,,,graphic_3742fa179c77,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,112,graphic,,,,graphic_e332533f00b9,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,148,graphic,,,,graphic_a363d55700d6,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,181,graphic,,,,graphic_47d80b0ee570,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,214,graphic,,,,graphic_e4f3df57adc1,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,246,graphic,,,,graphic_0320e500e6fb,Facsimile graphic is missing @mimetype.,,,
warning,facsimile,graphic_metadata,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,265,graphic,,,,graphic_ee1554be34cd,Facsimile graphic is missing @mimetype.,,,
warning,publication,mdiv_work_link,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,284,mdiv,,,,y1k3232d,Music division is not linked to a described work using @decls.,,,
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,2081,layer,23.0,5.0,,d11rmezg,Layer is underfull against the active meter.,16,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,2101,layer,24.0,1.0,,v1d2h4du,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,4464,layer,45.0,4.0,,o19w35rr,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5159,layer,51.0,4.0,,b1nhygti,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5243,layer,52.0,4.0,,xt53xrr,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5269,layer,52.0,4.0,,b17o6are,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5410,layer,53.0,4.0,,fptb9sdfjp,Layer is underfull against the active meter.,16,8,
warning,rhythm,layer_duration_overfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,5416,layer,53.0,5.0,,eyne4n7,Layer is overfull against the active meter.,16,17,
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6465,layer,64.0,3.0,,q1whwnlj,Layer is underfull against the active meter.,16,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6491,layer,64.0,4.0,,z7qq2x,Layer is underfull against the active meter.,16,12,
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6570,layer,65.0,4.0,,sw53sdiwh,Layer is underfull against the active meter.,16,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6641,layer,66.0,5.0,,s1b51seu,Layer is overfull against the active meter.,12,14,
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6770,layer,69.0,4.0,,oq9n006,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,buxtehude_app_03_sonata_gamba_violin_cembalo_d_major_corr.mei,6915,layer,72.0,4.0,,l1j0m9jo,Layer is underfull against the active meter.,12,8,No <space> found in this layer; a missing space/rest is a likely cause.
