severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,4270,layer,36,3.0,,a1fpzcg9,Layer is overfull against the active meter.,16,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,4952,layer,46,4.0,,cnywvfh,Layer is overfull against the active meter.,12,20,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,4965,layer,46,4.0,,lil26s0,Layer is underfull against the active meter.,12,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,5938,layer,65,4.0,,b1mkw6h3,Layer is overfull against the active meter.,12,14,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,8026,staff,105,,,v1u4npte,Staff has duplicate layer numbers in the same measure.,,1,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,8956,layer,117,4.0,,xpexzb7,Layer is underfull against the active meter.,12,10,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,9711,layer,126,4.0,,c8oqod5,Layer is overfull against the active meter.,12,21,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,9939,layer,128,4.0,,vaf94vc,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,10135,layer,130,4.0,,m13dcwfl,Layer is overfull against the active meter.,12,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,19674,layer,223,4.0,,qi5iw51,Layer is overfull against the active meter.,16,18,
info,terms,corpus_term_spelling_variants,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,6242,tempo,72,1.0,,,Corpus uses spelling/punctuation variants of the same normalized musical term.,allegro,Allegro | Allegro.,
info,terms,term_spelling_variants_in_file,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,6242,tempo,72,1.0,,,Same normalized musical term appears with spelling/punctuation variants in this file.,,Allegro | Allegro.,
warning,cleanup,tie_role_conflict,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,5876,note,64,4.0,1.0,ziv5bhd,Tie starts at a note whose existing @tie value is not initial or median; terminal repair skipped.,i or m,t,safe cleanup
warning,cleanup,tie_role_conflict,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,6664,note,80,4.0,1.0,v1etpbu1,Tie starts at a note whose existing @tie value is not initial or median; terminal repair skipped.,i or m,t,safe cleanup
warning,cleanup,tie_role_conflict,11_buxtehude_sonatas_final/buxtehude_op1_05_sonata_c_major_corr.mei,14605,note,175,4.0,1.0,d1mmom74,Tie starts at a note whose existing @tie value is not initial or median; terminal repair skipped.,i or m,t,safe cleanup
